0,1,2,3,4,5
AEL : Primary Industries – Mining Services,,,,,
Type of Project,Mine,Capacity,State,Customer (Owner),SPV Name
,Parsa East Kente Basen,15.0 MMT,Chhattisgarh,RRVUNL,Parsa Kente Collieries Ltd
,Gare Pelma III,5.0 MMT,Chhattisgarh,CSPGCL,Gare Pelma III Collieries Pvt. Ltd
,Talabira II & III,20.0 MMT,Odisha,NLCIL,Talabira (Odisha) Mining Pvt Ltd
,Suliyari,5.0 MMT,Madhya Pradesh,APMDC,Adani Enterprises Ltd
Mining Service,,,,,
Contract,,,,,
,Parsa,5.0 MMT,Chhattisgarh,RRVUNL,Rajasthan Collieries Ltd
,Kente Extension,9.0 MMT,Chhattisgarh,RRUVNL,Rajasthan Collieries Ltd
,Gare Pelma II,23.6 MMT,Chhattisgarh,MAHAGENCO,Gare Pelma II Collieries Pvt. Ltd
,Pelma,15.0 MMT,Chhattisgarh,SECL,Pelma Collieries Ltd
Iron Ore Service,,,,,
,Kurmitar,6.0 MMT,Odisha,OMC,Kurmitar Iron Ore Mining Pvt Ltd
Contract,,,,,
