0,1,2,3,4,5
AEL : Transport & Logistics – ARTL (Roads),,,,,
,,Length,Financial,Project Completion,Concession Period (in Yrs)
Project Model,Project SPV / Location,,,,
,,(KMs),Closure,Status,(Const. + O&M)
,Bilaspur Pathrapali Road Pvt Ltd (BPRPL) /,,,,
,,53.3,Secured,Operational,2 + 15
,Chhattisgarh,,,,
,Suryapet Khammam Road Pvt Ltd (SKRPL) /,,,,
,,58.6,Secured,Operational,2.5 + 15
,Telangana,,,,
,Mancherial Repallewada Road Pvt Ltd (MRRPL) /,,,,
,,42.0,Secured,Operational,2 + 15
,Telangana,,,,
,Vijayawada Bypass Project Pvt Ltd (VBPPL) /,,,,
,,17.9,Secured,61%,2.5 + 15
,Andhra Pradesh,,,,
HAM,,,,,
,Nanasa Pidgaon Road Pvt Ltd (NPRPL) / Madhya,,,,
,,47.4,Secured,61%,2 + 15
,Pradesh,,,,
,Azhiyur Vengalam Road Pvt Ltd (AVRPL) / Kerala,40.8,Secured,37%,2.5 + 15
,Kodad Khammam Road Pvt Ltd (KKRPL) /,,,,
,,31.8,Secured,62%,2 + 15
,Telangana,,,,
,Badakumari Karki Road Pvt Ltd (BKRPL) / Odisha,47.5,Secured,43%,2.5 + 15
TOT,PRS Tolls Pvt Ltd / Gujarat,49.5,Secured,Operational,0 + 20
,Panagarh Palsit Road Pvt Ltd (PPRPL) / West,,,,
,,67.8,Secured,57%,2.5 + 18
,Bengal,,,,
BOT,,,,,
,Kagal Satara Road Pvt Ltd (KSRPL) / Maharashtra,65.1,Secured,20%,2 + 18
