0,1,2,3
,,,Half Year Ended
AEL : Incubating Business Growth,,,
,,,` In Crores
ANIL Ecosystem,Airports,Roads,
Total Income,Total Income,Total Income,
"+2x
3837 Cr",,+2x,
,"+42%
3657 Cr",3114 Cr,
EBIDTA,EBIDTA,EBIDTA,
"+9x
983 Cr","+4%
1080 Cr","+2x
762 Cr",
,Emerging Core Infra Businesses contributing to growth journey,,
,48% of Total EBIDTA,,
,"Incubating Business – [Energy & Utility – ANIL Ecosystem, Adani Connex Data Center,  Transport & Logistics – Adani Airports Holdings Ltd, Adani Road Transport Ltd]",,
,,,3
